Test Case #,x,y,theta,time taken,# of tries
1,0.5941298890492273,-0.004467539489269257,-0.06515403932742779,88.36961078643799,2
2,0.5988637987394182,-0.0028637205250561237,-0.07070311816451592,33.43242859840393,0
3,0.5991012239077734,-0.003185807028785348,-0.024394266179013593,119.18366742134094,1
4,0.5988593520436968,-0.0037453605327755213,-0.07859609024148709,82.53063249588013,2
